2025-06-07 18:06:25.998 | DEBUG    | root                 | setup_detailed_logging:86   | === 디버그 로깅 시작 ===
2025-06-07 18:06:25.999 | DEBUG    | root                 | setup_detailed_logging:87   | 로그 파일: c:\Users\hj92l\OneDrive\바탕 화면\Workspace\AutoCalEditor\07_Python_DB_Refactoring\logs\debug.log
2025-06-07 18:06:25.999 | DEBUG    | root                 | setup_detailed_logging:88   | 로깅 레벨: DEBUG (모든 메시지 기록)
2025-06-07 18:06:26.014 | INFO     | root                 | main           :5622 | =========================================
2025-06-07 18:06:26.014 | INFO     | root                 | main           :5623 | Starting DBExcelEditor Application
2025-06-07 18:06:26.014 | INFO     | root                 | main           :5624 | Python version: 3.11.9 (tags/v3.11.9:de54cf5, Apr  2 2024, 10:12:12) [MSC v.1938 64 bit (AMD64)]
2025-06-07 18:06:26.014 | INFO     | root                 | main           :5625 | PySide6 version: 6.9.1
2025-06-07 18:06:26.014 | INFO     | root                 | main           :5626 | =========================================
2025-06-07 18:06:26.032 | INFO     | root                 | set_db_handler :816  | VirtualizedGridModel set for ExcelGridView.
2025-06-07 18:06:26.392 | DEBUG    | root                 | get_current_branch:4831 | GitManager가 없어서 직접 Git 명령어 실행
2025-06-07 18:06:26.392 | DEBUG    | root                 | detailed_logged_subprocess_run:151  | 🚀 SUBPROCESS_START: ver
2025-06-07 18:06:26.392 | DEBUG    | root                 | detailed_logged_subprocess_run:152  |    📁 작업 디렉토리: C:\Users\hj92l\OneDrive\바탕 화면\Workspace\AutoCalEditor\07_Python_DB_Refactoring
2025-06-07 18:06:26.392 | DEBUG    | root                 | detailed_logged_subprocess_run:153  |    ⚙️  kwargs: {'stdout': -1, 'timeout': None, 'check': True, 'stdin': -3, 'stderr': -3, 'text': True, 'encoding': 'locale', 'shell': True}
2025-06-07 18:06:26.411 | DEBUG    | root                 | detailed_logged_subprocess_run:171  | ⏱️  SUBPROCESS_TIME: 0.019초
2025-06-07 18:06:26.411 | DEBUG    | root                 | detailed_logged_subprocess_run:172  | 🔢 SUBPROCESS_RETURN_CODE: 0
2025-06-07 18:06:26.411 | DEBUG    | root                 | detailed_logged_subprocess_run:177  | 📤 SUBPROCESS_STDOUT (1 줄):
2025-06-07 18:06:26.411 | DEBUG    | root                 | detailed_logged_subprocess_run:179  |      1: Microsoft Windows [Version 10.0.22631.5335]
2025-06-07 18:06:26.411 | DEBUG    | root                 | detailed_logged_subprocess_run:190  | ✅ SUBPROCESS_SUCCESS: ver (실행시간: 0.019초)
2025-06-07 18:06:26.411 | DEBUG    | root                 | detailed_logged_subprocess_run:151  | 🚀 SUBPROCESS_START: C:\Program Files\Git\bin\git.exe branch --show-current
2025-06-07 18:06:26.411 | DEBUG    | root                 | detailed_logged_subprocess_run:152  |    📁 작업 디렉토리: C:\Users\hj92l\OneDrive\바탕 화면\Workspace\AutoCalEditor\07_Python_DB_Refactoring
2025-06-07 18:06:26.411 | DEBUG    | root                 | detailed_logged_subprocess_run:153  |    ⚙️  kwargs: {'cwd': 'C:\\Users\\hj92l\\OneDrive\\바탕 화면\\Workspace\\AutoCalEditor\\07_Python_DB_Refactoring', 'capture_output': True, 'text': True, 'encoding': 'utf-8', 'errors': 'replace', 'timeout': 10}
2025-06-07 18:06:26.442 | DEBUG    | root                 | detailed_logged_subprocess_run:171  | ⏱️  SUBPROCESS_TIME: 0.031초
2025-06-07 18:06:26.442 | DEBUG    | root                 | detailed_logged_subprocess_run:172  | 🔢 SUBPROCESS_RETURN_CODE: 0
2025-06-07 18:06:26.442 | DEBUG    | root                 | detailed_logged_subprocess_run:177  | 📤 SUBPROCESS_STDOUT (1 줄):
2025-06-07 18:06:26.442 | DEBUG    | root                 | detailed_logged_subprocess_run:179  |      1: Python_Fallback
2025-06-07 18:06:26.442 | DEBUG    | root                 | detailed_logged_subprocess_run:190  | ✅ SUBPROCESS_SUCCESS: C:\Program Files\Git\bin\git.exe branch --show-current (실행시간: 0.031초)
2025-06-07 18:06:26.442 | DEBUG    | root                 | update_branch_display:4916 | 브랜치 표시 업데이트: Python_Fallback
2025-06-07 18:06:26.442 | INFO     | root                 | load_initial_databases:791  | 초기 데이터베이스 로드 시작
2025-06-07 18:06:26.442 | INFO     | root                 | auto_load_multi_db:1429 | 앱 시작 시 마지막 DB 파일 로드 시도
2025-06-07 18:06:26.442 | INFO     | root                 | load_last_db_file:1420 | 저장된 마지막 DB 파일 없음
2025-06-07 18:06:26.442 | DEBUG    | root                 | update_db_combo:733  | DB 드롭다운 업데이트 시작
2025-06-07 18:06:26.442 | DEBUG    | root                 | update_db_combo:745  | DB가 없어서 비활성화 상태로 설정
2025-06-07 18:06:26.442 | INFO     | root                 | load_initial_databases:796  | 초기 데이터베이스 로드 완료
2025-06-07 18:06:26.442 | INFO     | root                 | __init__       :37   | GitManager 초기화 (로컬 Git 전용): C:\Users\hj92l\OneDrive\바탕 화면\Workspace\AutoCalEditor\07_Python_DB_Refactoring
2025-06-07 18:06:26.442 | INFO     | root                 | __init__       :38   | Git 실행 파일: C:\Program Files\Git\bin\git.exe
2025-06-07 18:06:26.442 | DEBUG    | root                 | write          :124  | STDOUT: 🔍 Git 실행 파일 경로: C:\Program Files\Git\bin\git.exe
2025-06-07 18:06:26.442 | DEBUG    | root                 | write          :124  | STDOUT: ✅ Git 실행 파일 존재 확인됨
2025-06-07 18:06:26.442 | INFO     | root                 | initialize_git_config:344  | Git 관리자 초기화 완료 (로컬 Git 전용)
2025-06-07 18:06:26.442 | DEBUG    | root                 | detailed_logged_subprocess_run:151  | 🚀 SUBPROCESS_START: C:\Program Files\Git\bin\git.exe branch --show-current
2025-06-07 18:06:26.442 | DEBUG    | root                 | detailed_logged_subprocess_run:152  |    📁 작업 디렉토리: C:\Users\hj92l\OneDrive\바탕 화면\Workspace\AutoCalEditor\07_Python_DB_Refactoring
2025-06-07 18:06:26.442 | DEBUG    | root                 | detailed_logged_subprocess_run:153  |    ⚙️  kwargs: {'cwd': WindowsPath('C:/Users/hj92l/OneDrive/바탕 화면/Workspace/AutoCalEditor/07_Python_DB_Refactoring'), 'capture_output': True, 'text': True, 'check': True}
2025-06-07 18:06:26.481 | DEBUG    | root                 | detailed_logged_subprocess_run:171  | ⏱️  SUBPROCESS_TIME: 0.039초
2025-06-07 18:06:26.481 | DEBUG    | root                 | detailed_logged_subprocess_run:172  | 🔢 SUBPROCESS_RETURN_CODE: 0
2025-06-07 18:06:26.481 | DEBUG    | root                 | detailed_logged_subprocess_run:177  | 📤 SUBPROCESS_STDOUT (1 줄):
2025-06-07 18:06:26.481 | DEBUG    | root                 | detailed_logged_subprocess_run:179  |      1: Python_Fallback
2025-06-07 18:06:26.481 | DEBUG    | root                 | detailed_logged_subprocess_run:190  | ✅ SUBPROCESS_SUCCESS: C:\Program Files\Git\bin\git.exe branch --show-current (실행시간: 0.039초)
2025-06-07 18:06:26.481 | DEBUG    | root                 | detailed_logged_subprocess_run:151  | 🚀 SUBPROCESS_START: C:\Program Files\Git\bin\git.exe branch
2025-06-07 18:06:26.481 | DEBUG    | root                 | detailed_logged_subprocess_run:152  |    📁 작업 디렉토리: C:\Users\hj92l\OneDrive\바탕 화면\Workspace\AutoCalEditor\07_Python_DB_Refactoring
2025-06-07 18:06:26.481 | DEBUG    | root                 | detailed_logged_subprocess_run:153  |    ⚙️  kwargs: {'cwd': WindowsPath('C:/Users/hj92l/OneDrive/바탕 화면/Workspace/AutoCalEditor/07_Python_DB_Refactoring'), 'capture_output': True, 'text': True, 'check': True}
2025-06-07 18:06:26.542 | DEBUG    | root                 | detailed_logged_subprocess_run:171  | ⏱️  SUBPROCESS_TIME: 0.061초
2025-06-07 18:06:26.542 | DEBUG    | root                 | detailed_logged_subprocess_run:172  | 🔢 SUBPROCESS_RETURN_CODE: 0
2025-06-07 18:06:26.542 | DEBUG    | root                 | detailed_logged_subprocess_run:177  | 📤 SUBPROCESS_STDOUT (2 줄):
2025-06-07 18:06:26.542 | DEBUG    | root                 | detailed_logged_subprocess_run:179  |      1: * Python_Fallback
2025-06-07 18:06:26.542 | DEBUG    | root                 | detailed_logged_subprocess_run:179  |      2:   master
2025-06-07 18:06:26.542 | DEBUG    | root                 | detailed_logged_subprocess_run:190  | ✅ SUBPROCESS_SUCCESS: C:\Program Files\Git\bin\git.exe branch (실행시간: 0.061초)
2025-06-07 18:06:26.543 | DEBUG    | root                 | detailed_logged_subprocess_run:151  | 🚀 SUBPROCESS_START: C:\Program Files\Git\bin\git.exe branch -r
2025-06-07 18:06:26.543 | DEBUG    | root                 | detailed_logged_subprocess_run:152  |    📁 작업 디렉토리: C:\Users\hj92l\OneDrive\바탕 화면\Workspace\AutoCalEditor\07_Python_DB_Refactoring
2025-06-07 18:06:26.543 | DEBUG    | root                 | detailed_logged_subprocess_run:153  |    ⚙️  kwargs: {'cwd': WindowsPath('C:/Users/hj92l/OneDrive/바탕 화면/Workspace/AutoCalEditor/07_Python_DB_Refactoring'), 'capture_output': True, 'text': True, 'check': True}
